category;subcategories;type
"健康&個人護理";"";"1"
"天然&有機";"";"1"
"酒";"";"1"
"雜貨&美食";"";"1"
"住屋&庭院";"傢俱 & 裝潢,庭院,草地&花園,廚房&用餐,臥房&浴室,藝術,手工&裁縫";"1"
"藝術,手工&裁縫";"";"1"
"臥房&浴室";"";"1"
"傢俱 & 裝潢";"";"1"
"廚房&用餐";"";"1"
"庭院,草地&花園";"";"1"
"珠寶&手錶";"手錶,時尚珠寶,時尚珠寶,精品珠寶,訂婚&婚禮";"1"
"手錶";"";"1"
"時尚珠寶";"";"1"
"時尚珠寶";"";"1"
"精品珠寶";"";"1"
"訂婚&婚禮";"";"1"
"電影,音樂&遊戲";"MP3下載,樂器,藍光,遊戲下載,電影&電視";"1"
"MP3下載";"";"1"
"樂器";"";"1"
"藍光";"";"1"
"遊戲下載";"";"1"
"電影&電視";"";"1"
"房地產";"";"1"
"餐廳";"亞洲餐廳,法式餐廳,義式餐廳";"1"
"亞洲餐廳";"";"1"
"法式餐廳";"";"1"
"義式餐廳";"";"1"
"服務";"IT 服務,服務";"1"
"IT 服務";"";"1"
"服務";"";"1"
"運動&戶外活動";"單車,團體運動,戶外休閒,打獵&釣魚,運動&瘦身";"1"
"單車";"";"1"
"團體運動";"";"1"
"戶外休閒";"";"1"
"打獵&釣魚";"";"1"
"運動&瘦身";"";"1"
"玩具,兒童&嬰兒";"兒童電玩,嬰兒,嬰兒註冊,玩具&遊戲,衣服(兒童&嬰兒)";"1"
"兒童電玩";"";"1"
"嬰兒";"";"1"
"嬰兒註冊";"";"1"
"玩具&遊戲";"";"1"
"衣服(兒童&嬰兒)";"";"1"
